"Notes"	"Standard Residence States"	"Standard Residence States Code"	"Mother's Bridged Race/Hispanic Origin"	"Mother's Bridged Race/Hispanic Origin Code"	"Age of Mother Year"	"Age of Mother Year Code"	"Delivery Place"	"Delivery Place Code"	"Delivery Method"	"Delivery Method Code"	Fetal Deaths	Percent of Total Deaths
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"40 years"	"40"	"In Hospital"	"1"	"Vaginal"	"1"	20	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"41 years"	"41"	"In Hospital"	"1"	"Vaginal"	"1"	30	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"42 years"	"42"	"In Hospital"	"1"	"Vaginal"	"1"	12	0.00
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"15 years"	"15"	"In Hospital"	"1"	"Vaginal"	"1"	23	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"16 years"	"16"	"In Hospital"	"1"	"Vaginal"	"1"	38	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"17 years"	"17"	"In Hospital"	"1"	"Vaginal"	"1"	84	0.02
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"17 years"	"17"	"In Hospital"	"1"	"Cesarean"	"2"	16	0.00
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"18 years"	"18"	"In Hospital"	"1"	"Vaginal"	"1"	130	0.04
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"18 years"	"18"	"In Hospital"	"1"	"Cesarean"	"2"	14	0.00
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"19 years"	"19"	"In Hospital"	"1"	"Vaginal"	"1"	186	0.05
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"19 years"	"19"	"In Hospital"	"1"	"Cesarean"	"2"	23	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"20 years"	"20"	"In Hospital"	"1"	"Vaginal"	"1"	212	0.06
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"20 years"	"20"	"In Hospital"	"1"	"Cesarean"	"2"	25	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"21 years"	"21"	"In Hospital"	"1"	"Vaginal"	"1"	201	0.06
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"21 years"	"21"	"In Hospital"	"1"	"Cesarean"	"2"	27	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"22 years"	"22"	"In Hospital"	"1"	"Vaginal"	"1"	223	0.06
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"22 years"	"22"	"In Hospital"	"1"	"Cesarean"	"2"	36	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"23 years"	"23"	"In Hospital"	"1"	"Vaginal"	"1"	186	0.05
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"23 years"	"23"	"In Hospital"	"1"	"Cesarean"	"2"	39	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"24 years"	"24"	"In Hospital"	"1"	"Vaginal"	"1"	182	0.05
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"24 years"	"24"	"In Hospital"	"1"	"Cesarean"	"2"	39	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"25 years"	"25"	"In Hospital"	"1"	"Vaginal"	"1"	154	0.04
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"25 years"	"25"	"In Hospital"	"1"	"Cesarean"	"2"	36	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"26 years"	"26"	"In Hospital"	"1"	"Vaginal"	"1"	176	0.05
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"26 years"	"26"	"In Hospital"	"1"	"Cesarean"	"2"	19	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"27 years"	"27"	"In Hospital"	"1"	"Vaginal"	"1"	166	0.05
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"27 years"	"27"	"In Hospital"	"1"	"Cesarean"	"2"	32	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"28 years"	"28"	"In Hospital"	"1"	"Vaginal"	"1"	151	0.04
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"28 years"	"28"	"In Hospital"	"1"	"Cesarean"	"2"	22	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"29 years"	"29"	"In Hospital"	"1"	"Vaginal"	"1"	137	0.04
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"29 years"	"29"	"In Hospital"	"1"	"Cesarean"	"2"	27	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"30 years"	"30"	"In Hospital"	"1"	"Vaginal"	"1"	126	0.03
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"30 years"	"30"	"In Hospital"	"1"	"Cesarean"	"2"	30	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"31 years"	"31"	"In Hospital"	"1"	"Vaginal"	"1"	107	0.03
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"31 years"	"31"	"In Hospital"	"1"	"Cesarean"	"2"	29	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"32 years"	"32"	"In Hospital"	"1"	"Vaginal"	"1"	89	0.02
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"32 years"	"32"	"In Hospital"	"1"	"Cesarean"	"2"	21	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"33 years"	"33"	"In Hospital"	"1"	"Vaginal"	"1"	92	0.03
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"33 years"	"33"	"In Hospital"	"1"	"Cesarean"	"2"	23	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"34 years"	"34"	"In Hospital"	"1"	"Vaginal"	"1"	82	0.02
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"34 years"	"34"	"In Hospital"	"1"	"Cesarean"	"2"	20	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"35 years"	"35"	"In Hospital"	"1"	"Vaginal"	"1"	66	0.02
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"36 years"	"36"	"In Hospital"	"1"	"Vaginal"	"1"	75	0.02
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"36 years"	"36"	"In Hospital"	"1"	"Cesarean"	"2"	22	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"37 years"	"37"	"In Hospital"	"1"	"Vaginal"	"1"	52	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"37 years"	"37"	"In Hospital"	"1"	"Cesarean"	"2"	12	0.00
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"38 years"	"38"	"In Hospital"	"1"	"Vaginal"	"1"	43	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"39 years"	"39"	"In Hospital"	"1"	"Vaginal"	"1"	43	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"40 years"	"40"	"In Hospital"	"1"	"Vaginal"	"1"	27	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"41 years"	"41"	"In Hospital"	"1"	"Vaginal"	"1"	24	0.01
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"42 years"	"42"	"In Hospital"	"1"	"Vaginal"	"1"	13	0.00
	"Alabama"	"01"	"Not Available"	"10"	"18 years"	"18"	"In Hospital"	"1"	"Vaginal"	"1"	10	0.00
	"Alabama"	"01"	"Not Available"	"10"	"19 years"	"19"	"In Hospital"	"1"	"Vaginal"	"1"	10	0.00
	"Alabama"	"01"	"Not Available"	"10"	"20 years"	"20"	"In Hospital"	"1"	"Vaginal"	"1"	26	0.01
	"Alabama"	"01"	"Not Available"	"10"	"21 years"	"21"	"In Hospital"	"1"	"Vaginal"	"1"	21	0.01
	"Alabama"	"01"	"Not Available"	"10"	"22 years"	"22"	"In Hospital"	"1"	"Vaginal"	"1"	22	0.01
	"Alabama"	"01"	"Not Available"	"10"	"23 years"	"23"	"In Hospital"	"1"	"Vaginal"	"1"	25	0.01
	"Alabama"	"01"	"Not Available"	"10"	"24 years"	"24"	"In Hospital"	"1"	"Vaginal"	"1"	23	0.01
	"Alabama"	"01"	"Not Available"	"10"	"25 years"	"25"	"In Hospital"	"1"	"Vaginal"	"1"	24	0.01
	"Alabama"	"01"	"Not Available"	"10"	"26 years"	"26"	"In Hospital"	"1"	"Vaginal"	"1"	33	0.01
	"Alabama"	"01"	"Not Available"	"10"	"27 years"	"27"	"In Hospital"	"1"	"Vaginal"	"1"	22	0.01
	"Alabama"	"01"	"Not Available"	"10"	"28 years"	"28"	"In Hospital"	"1"	"Vaginal"	"1"	13	0.00
	"Alabama"	"01"	"Not Available"	"10"	"29 years"	"29"	"In Hospital"	"1"	"Vaginal"	"1"	27	0.01
	"Alabama"	"01"	"Not Available"	"10"	"30 years"	"30"	"In Hospital"	"1"	"Vaginal"	"1"	16	0.00
	"Alabama"	"01"	"Not Available"	"10"	"31 years"	"31"	"In Hospital"	"1"	"Vaginal"	"1"	20	0.01
	"Alabama"	"01"	"Not Available"	"10"	"32 years"	"32"	"In Hospital"	"1"	"Vaginal"	"1"	12	0.00
	"Alabama"	"01"	"Not Available"	"10"	"33 years"	"33"	"In Hospital"	"1"	"Vaginal"	"1"	24	0.01
	"Alabama"	"01"	"Not Available"	"10"	"34 years"	"34"	"In Hospital"	"1"	"Vaginal"	"1"	13	0.00
	"Alabama"	"01"	"Not Available"	"10"	"35 years"	"35"	"In Hospital"	"1"	"Vaginal"	"1"	17	0.00
	"Alabama"	"01"	"Not Available"	"10"	"36 years"	"36"	"In Hospital"	"1"	"Vaginal"	"1"	17	0.00
	"Alabama"	"01"	"Not Available"	"10"	"37 years"	"37"	"In Hospital"	"1"	"Vaginal"	"1"	10	0.00
	"Alabama"	"01"	"Not Available"	"10"	"39 years"	"39"	"In Hospital"	"1"	"Vaginal"	"1"	12	0.00
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"21 years"	"21"	"In Hospital"	"1"	"Vaginal"	"1"	11	0.00
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"22 years"	"22"	"In Hospital"	"1"	"Vaginal"	"1"	15	0.00
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"23 years"	"23"	"In Hospital"	"1"	"Vaginal"	"1"	13	0.00
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"25 years"	"25"	"In Hospital"	"1"	"Vaginal"	"1"	24	0.01
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"26 years"	"26"	"In Hospital"	"1"	"Vaginal"	"1"	13	0.00
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"27 years"	"27"	"In Hospital"	"1"	"Vaginal"	"1"	13	0.00
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"28 years"	"28"	"In Hospital"	"1"	"Vaginal"	"1"	22	0.01
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"29 years"	"29"	"In Hospital"	"1"	"Vaginal"	"1"	12	0.00
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"30 years"	"30"	"In Hospital"	"1"	"Vaginal"	"1"	21	0.01
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"31 years"	"31"	"In Hospital"	"1"	"Vaginal"	"1"	11	0.00
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"32 years"	"32"	"In Hospital"	"1"	"Vaginal"	"1"	18	0.00
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"33 years"	"33"	"In Hospital"	"1"	"Vaginal"	"1"	13	0.00
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"34 years"	"34"	"In Hospital"	"1"	"Vaginal"	"1"	15	0.00
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"35 years"	"35"	"In Hospital"	"1"	"Vaginal"	"1"	16	0.00
	"Alaska"	"02"	"Non-Hispanic other races"	"8"	"18 years"	"18"	"In Hospital"	"1"	"Vaginal"	"1"	19	0.01
	"Alaska"	"02"	"Non-Hispanic other races"	"8"	"19 years"	"19"	"In Hospital"	"1"	"Vaginal"	"1"	20	0.01
	"Alaska"	"02"	"Non-Hispanic other races"	"8"	"20 years"	"20"	"In Hospital"	"1"	"Vaginal"	"1"	13	0.00
	"Alaska"	"02"	"Non-Hispanic other races"	"8"	"23 years"	"23"	"In Hospital"	"1"	"Vaginal"	"1"	13	0.00
	"Alaska"	"02"	"Non-Hispanic other races"	"8"	"25 years"	"25"	"In Hospital"	"1"	"Vaginal"	"1"	13	0.00
	"Alaska"	"02"	"Non-Hispanic other races"	"8"	"26 years"	"26"	"In Hospital"	"1"	"Vaginal"	"1"	12	0.00
	"Alaska"	"02"	"Non-Hispanic other races"	"8"	"28 years"	"28"	"In Hospital"	"1"	"Vaginal"	"1"	19	0.01
	"Alaska"	"02"	"Non-Hispanic other races"	"8"	"29 years"	"29"	"In Hospital"	"1"	"Vaginal"	"1"	12	0.00
	"Alaska"	"02"	"Non-Hispanic other races"	"8"	"30 years"	"30"	"In Hospital"	"1"	"Vaginal"	"1"	11	0.00
	"Alaska"	"02"	"Non-Hispanic other races"	"8"	"31 years"	"31"	"In Hospital"	"1"	"Vaginal"	"1"	13	0.00
	"Alaska"	"02"	"Non-Hispanic other races"	"8"	"33 years"	"33"	"In Hospital"	"1"	"Vaginal"	"1"	15	0.00
	"Arizona"	"04"	"Mexican"	"2148-5"	"15 years"	"15"	"In Hospital"	"1"	"Vaginal"	"1"	18	0.00
	"Arizona"	"04"	"Mexican"	"2148-5"	"16 years"	"16"	"In Hospital"	"1"	"Vaginal"	"1"	40	0.01
	"Arizona"	"04"	"Mexican"	"2148-5"	"17 years"	"17"	"In Hospital"	"1"	"Vaginal"	"1"	64	0.02
	"Arizona"	"04"	"Mexican"	"2148-5"	"18 years"	"18"	"In Hospital"	"1"	"Vaginal"	"1"	86	0.02
	"Arizona"	"04"	"Mexican"	"2148-5"	"18 years"	"18"	"In Hospital"	"1"	"Cesarean"	"2"	10	0.00
	"Arizona"	"04"	"Mexican"	"2148-5"	"19 years"	"19"	"In Hospital"	"1"	"Vaginal"	"1"	142	0.04
	"Arizona"	"04"	"Mexican"	"2148-5"	"20 years"	"20"	"In Hospital"	"1"	"Vaginal"	"1"	130	0.04
	"Arizona"	"04"	"Mexican"	"2148-5"	"21 years"	"21"	"In Hospital"	"1"	"Vaginal"	"1"	117	0.03
	"Arizona"	"04"	"Mexican"	"2148-5"	"21 years"	"21"	"In Hospital"	"1"	"Cesarean"	"2"	13	0.00
	"Arizona"	"04"	"Mexican"	"2148-5"	"22 years"	"22"	"In Hospital"	"1"	"Vaginal"	"1"	143	0.04
	"Arizona"	"04"	"Mexican"	"2148-5"	"22 years"	"22"	"In Hospital"	"1"	"Cesarean"	"2"	20	0.01
	"Arizona"	"04"	"Mexican"	"2148-5"	"23 years"	"23"	"In Hospital"	"1"	"Vaginal"	"1"	100	0.03
	"Arizona"	"04"	"Mexican"	"2148-5"	"23 years"	"23"	"In Hospital"	"1"	"Cesarean"	"2"	22	0.01
	"Arizona"	"04"	"Mexican"	"2148-5"	"24 years"	"24"	"In Hospital"	"1"	"Vaginal"	"1"	118	0.03
	"Arizona"	"04"	"Mexican"	"2148-5"	"24 years"	"24"	"In Hospital"	"1"	"Cesarean"	"2"	25	0.01
	"Arizona"	"04"	"Mexican"	"2148-5"	"25 years"	"25"	"In Hospital"	"1"	"Vaginal"	"1"	151	0.04
	"Arizona"	"04"	"Mexican"	"2148-5"	"25 years"	"25"	"In Hospital"	"1"	"Cesarean"	"2"	16	0.00
	"Arizona"	"04"	"Mexican"	"2148-5"	"26 years"	"26"	"In Hospital"	"1"	"Vaginal"	"1"	107	0.03
	"Arizona"	"04"	"Mexican"	"2148-5"	"26 years"	"26"	"In Hospital"	"1"	"Cesarean"	"2"	12	0.00
	"Arizona"	"04"	"Mexican"	"2148-5"	"27 years"	"27"	"In Hospital"	"1"	"Vaginal"	"1"	106	0.03
	"Arizona"	"04"	"Mexican"	"2148-5"	"27 years"	"27"	"In Hospital"	"1"	"Cesarean"	"2"	15	0.00
	"Arizona"	"04"	"Mexican"	"2148-5"	"28 years"	"28"	"In Hospital"	"1"	"Vaginal"	"1"	99	0.03
	"Arizona"	"04"	"Mexican"	"2148-5"	"28 years"	"28"	"In Hospital"	"1"	"Cesarean"	"2"	21	0.01
	"Arizona"	"04"	"Mexican"	"2148-5"	"29 years"	"29"	"In Hospital"	"1"	"Vaginal"	"1"	93	0.03
	"Arizona"	"04"	"Mexican"	"2148-5"	"29 years"	"29"	"In Hospital"	"1"	"Cesarean"	"2"	14	0.00
	"Arizona"	"04"	"Mexican"	"2148-5"	"30 years"	"30"	"In Hospital"	"1"	"Vaginal"	"1"	101	0.03
	"Arizona"	"04"	"Mexican"	"2148-5"	"30 years"	"30"	"In Hospital"	"1"	"Cesarean"	"2"	18	0.00
	"Arizona"	"04"	"Mexican"	"2148-5"	"31 years"	"31"	"In Hospital"	"1"	"Vaginal"	"1"	80	0.02
	"Arizona"	"04"	"Mexican"	"2148-5"	"31 years"	"31"	"In Hospital"	"1"	"Cesarean"	"2"	24	0.01
	"Arizona"	"04"	"Mexican"	"2148-5"	"32 years"	"32"	"In Hospital"	"1"	"Vaginal"	"1"	75	0.02
	"Arizona"	"04"	"Mexican"	"2148-5"	"32 years"	"32"	"In Hospital"	"1"	"Cesarean"	"2"	20	0.01
	"Arizona"	"04"	"Mexican"	"2148-5"	"33 years"	"33"	"In Hospital"	"1"	"Vaginal"	"1"	88	0.02
	"Arizona"	"04"	"Mexican"	"2148-5"	"33 years"	"33"	"In Hospital"	"1"	"Cesarean"	"2"	19	0.01
	"Arizona"	"04"	"Mexican"	"2148-5"	"34 years"	"34"	"In Hospital"	"1"	"Vaginal"	"1"	62	0.02
	"Arizona"	"04"	"Mexican"	"2148-5"	"34 years"	"34"	"In Hospital"	"1"	"Cesarean"	"2"	10	0.00
	"Arizona"	"04"	"Mexican"	"2148-5"	"35 years"	"35"	"In Hospital"	"1"	"Vaginal"	"1"	78	0.02
	"Arizona"	"04"	"Mexican"	"2148-5"	"36 years"	"36"	"In Hospital"	"1"	"Vaginal"	"1"	53	0.01
	"Arizona"	"04"	"Mexican"	"2148-5"	"37 years"	"37"	"In Hospital"	"1"	"Vaginal"	"1"	61	0.02
	"Arizona"	"04"	"Mexican"	"2148-5"	"37 years"	"37"	"In Hospital"	"1"	"Cesarean"	"2"	17	0.00
	"Arizona"	"04"	"Mexican"	"2148-5"	"38 years"	"38"	"In Hospital"	"1"	"Vaginal"	"1"	36	0.01
	"Arizona"	"04"	"Mexican"	"2148-5"	"39 years"	"39"	"In Hospital"	"1"	"Vaginal"	"1"	25	0.01
	"Arizona"	"04"	"Mexican"	"2148-5"	"40 years"	"40"	"In Hospital"	"1"	"Vaginal"	"1"	37	0.01
	"Arizona"	"04"	"Mexican"	"2148-5"	"41 years"	"41"	"In Hospital"	"1"	"Vaginal"	"1"	19	0.01
	"Arizona"	"04"	"Mexican"	"2148-5"	"42 years"	"42"	"In Hospital"	"1"	"Vaginal"	"1"	15	0.00
	"Arizona"	"04"	"Mexican"	"2148-5"	"43 years"	"43"	"In Hospital"	"1"	"Vaginal"	"1"	18	0.00
	"Arizona"	"04"	"Other and Unknown Hispanic"	"5"	"21 years"	"21"	"In Hospital"	"1"	"Vaginal"	"1"	11	0.00
	"Arizona"	"04"	"Other and Unknown Hispanic"	"5"	"29 years"	"29"	"In Hospital"	"1"	"Vaginal"	"1"	10	0.00
	"Arizona"	"04"	"Other and Unknown Hispanic"	"5"	"30 years"	"30"	"In Hospital"	"1"	"Vaginal"	"1"	10	0.00
	"Arizona"	"04"	"Non-Hispanic White"	"6"	"16 years"	"16"	"In Hospital"	"1"	"Vaginal"	"1"	20	0.01
